business_name,matching_business_id_count,review_count,anger,disgust,fear,joy,neutral,sadness,surprise
'O' Bar + Kitchen,1,28,0.008567911622646621,0.1201628005988563,0.019607489766453205,0.474068698857861,0.2495691493220095,0.04903975803089057,0.07898419791100808
1-800-GOT-JUNK? Central Coast,1,25,0.019160523265600166,0.027137872269377063,0.0397893033851869,0.3462904001586139,0.4422896438837051,0.011892658905126108,0.11343958475627
1-800-GOT-JUNK? Santa Barbara,1,14,0.1192876373284629,0.015259990451990429,0.008297621642538708,0.368604424708922,0.30721942016056597,0.030960905049661386,0.15036999610518767
101 Deli,1,28,0.015960019167063574,0.03529588202945883,0.005824393823006907,0.4290381752154125,0.3013311276445165,0.014924862085276106,0.19762554990925957
101 Property Mgmt,1,8,0.0062818199367029245,0.004992286318156363,0.0030008129251654623,0.6314010685309768,0.2914278787793591,0.0053345384803833,0.05756163701880721
1114 Sports Bar & Games,1,145,0.013933306868621584,0.07493072448314388,0.004606961160255872,0.5366905596940216,0.2106612709993175,0.06307252810802305,0.09610464183798313
1329 Salon and Spa,1,86,0.029272449623148972,0.0522533599409101,0.02907030980121664,0.49877546041213017,0.19511985075172725,0.029801432909660516,0.16570714181613952
19 Blue Salon,1,112,0.01915731442776238,0.04078667538150118,0.05712918381790842,0.5098960598448424,0.19271704089728048,0.04222205847950781,0.138091663940161
212° Hotpot,1,73,0.016594623089512785,0.0877051604831948,0.0041790654143630595,0.39679389129104153,0.2936304860289068,0.06164693624923026,0.13944983574695727
24 Hour Fitness - Santa Barbara,1,209,0.04424512552144225,0.3760358871344553,0.030027773327630805,0.11643562304010859,0.2506418666489306,0.07821732371907374,0.1043964025495422
3 Day Blinds,1,9,0.03498813134825061,0.07103149762325399,0.009579784463211422,0.22196667235241163,0.2808661506407791,0.1485638919855571,0.23300388434694874
33 Jewels,1,47,0.07681922758483581,0.0905743663154661,0.015521280474321702,0.3755882883028306,0.2299149867464253,0.052156889484204466,0.15942495074519447
4 Eggs & Pizza,1,61,0.005752131540412187,0.01596082080934252,0.011002271652286517,0.584021750562748,0.22973036416806278,0.012305390030588361,0.14122727419417655
6831 AA Hollister Ave,1,17,0.023402458399205472,0.13840018193620968,0.02024991850039972,0.22262375921298583,0.5038558089119547,0.0532322408193174,0.03823562459472343
7 Day Nursery,1,30,0.036210315464995764,0.10066254458700613,0.00601738466260329,0.248664401632656,0.2667019659653305,0.07424314488889645,0.26750024932747085
7 Falls Hike,1,37,0.015911862493266073,0.01888516764125052,0.06409444654127579,0.21772078980968607,0.5183957899241028,0.0632352142129093,0.10175672577492686
7-Eleven,10,120,0.13980730546366732,0.24881375470091974,0.04165692716633198,0.16909029482970556,0.2498848993646485,0.0374224446122146,0.1133243717141643
76 Gas Station,1,8,0.09599949204130095,0.23038685391657052,0.006703422477585212,0.025373222015332375,0.25380762969143683,0.07654744619503613,0.3111819288460538
76 Self Serve Gasoline,1,11,0.04113495464182707,0.16882147584957152,0.07254043120933183,0.15396269019269804,0.3994580971034752,0.06091286026110698,0.10316949349362398
781 EDN,1,9,0.16204923567258647,0.3144985819235444,0.027722752847087848,0.08961717151881504,0.33699754294421935,0.023175401457895803,0.045939339324831914
805 Boba,1,251,0.03485596622317186,0.21558685518768278,0.008110961307487605,0.29630352084029116,0.27258871125884765,0.06932799384764121,0.10322598579100355
805 Camera Bus,1,6,0.005783482105471166,0.0029913560526134333,0.0012825579081739166,0.7876330216725668,0.09058865190794067,0.0029564033805702834,0.10876452674468355
805 Deli,1,43,0.019641312846350758,0.07891132558295283,0.0054020816818973,0.4936403663352478,0.2502284258344145,0.03593734193723211,0.11623913629067148
805 Ink,1,71,0.03173036088029076,0.09360668614127958,0.02999903980095728,0.41340938230409136,0.2631123003543315,0.037987677795274635,0.13015455218740327
805 Junk Removal & Recycling,1,17,0.047016883323736,0.03351995028445821,0.10026830360156425,0.11016532902003207,0.5490683023543919,0.031640174079631565,0.12832105228239118
805 Kabob,1,66,0.019371277615639577,0.209601862539509,0.006647334079113458,0.3558288621147353,0.2838197437284345,0.04937284857486229,0.07535806482227403
805 Makeup,1,19,0.008828155377781657,0.005513393767423095,0.008864002553500958,0.6227053611686355,0.16574176356784603,0.007214039600895368,0.18113328232184833
805 Roadside Towing,1,34,0.09965530825395352,0.09118026850388983,0.0888344662277685,0.2590421271940131,0.30530388077364906,0.029339340114829034,0.12664461195441507
805 Rolfing and Massage,1,53,0.008844848800195725,0.01915349358833337,0.044947879868867,0.4138169848746708,0.32691649426618274,0.05478884155405153,0.13153146086524253
805 Street Bites,1,9,0.014163046066338768,0.0775433388900839,0.0037813670027793556,0.31985844449243606,0.41543116420507425,0.1069519340526312,0.06227072680162054
"911 Legal Team, PC",1,23,0.08282172108453735,0.026018252426697638,0.22579135155145824,0.3248313767228113,0.1162428779163114,0.05880820846347051,0.16548620094545183
911 Restoration of Santa Barbara,1,5,0.0090218069031834,0.0031301176757551202,0.00475944066420192,0.5700208242982626,0.17752510756254195,0.00954355746507638,0.2259991336613893
99 Cents Discount Store,1,12,0.19076023506931958,0.31732134132956463,0.05914053239393974,0.017559950923896336,0.22274407457249856,0.0865319645478545,0.10594192075465492
99 Cents Only Stores,1,50,0.07704497973434622,0.20218402675585817,0.03300320947018913,0.10543899140786377,0.2764313784148544,0.04733818308450277,0.2585592379258014
9Round Fitness,1,11,0.04733808383091602,0.0083289899947968,0.02432522829622026,0.4852163110097701,0.22325553033839568,0.0750997581265189,0.13643611561168317
A & A Import Service,1,6,0.012857718781257632,0.007501505431719066,0.14271993801230562,0.37795497104525566,0.413432227447629,0.008486824071345184,0.037046832653383384
A & B Glass,1,25,0.07524503023363645,0.03567690661409864,0.026732625516597133,0.3418652049731463,0.2902863800525665,0.11447546850424256,0.11571837227791544
A & B Hitech Auto Care & Smog,1,27,0.12024405227404912,0.13039179315307622,0.019199677680498278,0.18424805378782802,0.3984320682507974,0.04851549266647819,0.09896886178844226
A & E Automotive,1,81,0.061538425910884445,0.05550302833643519,0.030693636058088065,0.29544369333472537,0.3606142399884346,0.057664575625101716,0.13854240656565917
A Crimson Holiday,1,5,0.0033953773090615405,0.00252920521888878,0.00079034498194228,0.8355916142463684,0.1180943919345736,0.00447614595759656,0.03512287447229022
A Healthy Life,1,10,0.009616834670305201,0.10060357362963254,0.005744237249018579,0.38425765539286655,0.41236977092921734,0.00428129899082702,0.08312666951678686
A New Edge Dog Salon,1,21,0.011198892391153695,0.019923698927630577,0.22546537221309593,0.3456086908699944,0.3086201560550502,0.011612726619378396,0.0775704567342819
A Piece of Cake,1,12,0.05072493455372746,0.20092608343111348,0.009028206055518209,0.13801087384247993,0.1740676752912501,0.11984169933324056,0.30740054299045977
A Quality Autobody,1,71,0.04257052019074502,0.04092987166868491,0.03936131611920587,0.4230526694142535,0.29820759354395343,0.025817324823870363,0.13006071334140712
A Slice of Woodstock's,1,10,0.02033269754610952,0.0807108600623905,0.00296199287986378,0.24387748334556814,0.5100090697407722,0.0630424853879958,0.07906541549600657
A Tropical Affair Lingerie & Bikinis,1,29,0.02788115834720942,0.06830981888021498,0.06381872174699368,0.4050906767169463,0.19404213721382205,0.08114249514142884,0.15971499069690187
A White Jasmine Inn,1,127,0.018306621896674972,0.05398352388164214,0.020766264026825028,0.4979080428194262,0.24760411594679033,0.05565383932259898,0.1057775883521063
A and J Limousine,1,17,0.014515820822185405,0.03921024746480667,0.009221411628566404,0.4690512235495536,0.36052633821964264,0.05150675094302959,0.05596821144332776
A to Z Roofing,1,10,0.1151704655960202,0.14239985554013396,0.00632545029511671,0.2692136087687686,0.2761913210153579,0.04756121675018218,0.14313804756384338
A's Mobile Dog Grooming,1,35,0.04338926363935955,0.06598364175297315,0.028361304081876575,0.4313408043967294,0.3216512008304042,0.04424186738740116,0.06503193369135257
A+ Refrigeration Heating & Air Conditioning,1,18,0.12130889863086239,0.07856958578082003,0.024792129348497782,0.1918869972060848,0.43941499458418953,0.04058675316628064,0.10344064204643165
A-1 Appliance Repair,1,27,0.07152945516389549,0.08316596487485281,0.03910078405816518,0.18805446295947248,0.394567443885737,0.09872763678948908,0.12485426038296683
A-1 Auto Repair,1,21,0.0360021414567849,0.01516438283891013,0.07160044665769891,0.2663748698929945,0.5047274496228922,0.027688598448765384,0.0784421151370874
A-American Self Storage,2,19,0.012758544955623136,0.05871709293416255,0.04824375069553125,0.3050930550763089,0.40951145611899464,0.037141232371428246,0.12853486496514002
A-Frame Surf,1,62,0.027801759195544024,0.024194058268368495,0.01696134709110929,0.5496754059981134,0.25187341540661307,0.021439154559160508,0.10805485671716587
A-OK Power Equipment,1,16,0.1879818356974283,0.16555661122220042,0.006575097751010563,0.11643278172414279,0.3056625572789926,0.08124443728593173,0.1365467096038628
A1 Fingerprinting Plus,1,11,0.09733066414694552,0.021314734593033745,0.026206911144651082,0.30148815369995474,0.41925772618163715,0.0188747980758886,0.11552700408819043
A1 Laundromutt,1,64,0.05142344198338828,0.08075251876653051,0.11487136898858803,0.45651404475574964,0.13855713513476073,0.044705193246045334,0.11317629762379508
AA Appliance Repair,1,13,0.0984763853395214,0.09540181697453726,0.1432421170175075,0.09432378704122336,0.28607039461628747,0.12962982568961492,0.15285564960840226
AAA - Automobile Club of Southern California,1,46,0.11981302723490994,0.04484385237636789,0.04975484217183013,0.29169564890300687,0.27442974453468033,0.061201686920274154,0.15826119325103477
AAMCO Transmissions & Total Car Care,1,24,0.08173419700081767,0.05452490332633408,0.08777398371967134,0.12661970801612668,0.3611359400092624,0.04524139572943867,0.2429698656487744
ABC Mobile Pet Grooming,1,8,0.011037946998840161,0.02725876840122505,0.021366321452660424,0.41134726986638265,0.17462350788991896,0.08743444418360011,0.2669317451072856
ABS Glass,1,36,0.13151952316467128,0.0892750886325504,0.026443633571034252,0.1495320544692933,0.31732579514694703,0.06588965080057578,0.22001426581280403
AC4 Fitness,1,34,0.0706359623582102,0.09241829692687398,0.03312724673014596,0.3054907283649834,0.33778773226282177,0.013228965789654847,0.14731106410309777
AC4 Fitness - Goleta,1,34,0.034495579876580834,0.06572841498521426,0.05024640415007628,0.3732531763483113,0.27804522436824347,0.06454852970166347,0.13368267558090496
ADT Security Services,1,11,0.180370520546355,0.2572382504374466,0.1749802839688279,0.003960989198689718,0.1143231435932896,0.13379501729187637,0.13533180786974047
AGS Rebuilders,1,12,0.019426761544309508,0.0074468806900161244,0.0019469581457087165,0.29182734765345225,0.4232745891204104,0.051039878434191104,0.2050375901162624
AH Juice Organics,1,117,0.054122976848306324,0.15391128100196103,0.014895609219789328,0.36212765542306724,0.24034216006994882,0.056075779023643885,0.1185245452026844
ANGL,1,19,0.222860248514304,0.30546700077033356,0.018465880715092097,0.02869488638948253,0.17843683522292653,0.0701168433787595,0.17595831076859642
APEX Smoke & Vape,1,11,0.03332897153979331,0.09168833897406738,0.0018416575621813,0.4053719804029573,0.37510366788641974,0.021531738616018082,0.07113368271596049
AR Catering,1,5,0.00424780356697734,0.01431864425539964,0.00140582669991994,0.8097562551498413,0.14328114986419674,0.00300702024251218,0.023983273841440618
ARC Handyman Services,1,14,0.06731968995050655,0.00887217318605892,0.0037451679568870216,0.3153583822422661,0.35366550334064023,0.07928594585142228,0.1717531545353787
ARCO,3,47,0.17215867620456882,0.1997784231368333,0.027550323430369457,0.04900986149268061,0.376146742677752,0.0666127952033693,0.10874316607294798
ASAP Animal Shelter Assistance Program,1,12,0.009350743649216958,0.020449667489932183,0.0017561871597232418,0.5699622706451919,0.25692920285897947,0.0159853199923721,0.12556663840465865
ASIE,1,151,0.04361057539959279,0.2779697187218679,0.0343183732045342,0.31213801680152015,0.17483930792104427,0.07233478201843102,0.0847892233630062
AT&T,1,28,0.07313133983240858,0.1299595824686028,0.014376042824421422,0.32087991521569037,0.3190449481563908,0.035949724431182876,0.10665843652428257
AT&T Store,3,83,0.12200639189672596,0.17018568521948998,0.052872728155953876,0.15338639321832365,0.23920760516088496,0.07595431155255845,0.1863868715099889
ATG Auto Repair,1,38,0.07031455912357681,0.028360670633111585,0.060095795784084284,0.2635552727182297,0.3941737205329302,0.06787326625137781,0.11562670141115387
Aae Santa Barbara,1,7,0.015472345120672628,0.15806064215887863,0.006430646121901014,0.14506490202620623,0.4782433871046773,0.01653240694265277,0.18019569458972126
Aaron Brothers Art & Framing,1,11,0.03653567576442247,0.03912054476412855,0.01293434503763401,0.33458046117712825,0.3321420023725791,0.010481308849359062,0.23420568733391434
Aaron Gilles - Village Properties,1,7,0.03814117627085316,0.006288394764331786,0.0034384120871046426,0.45610515986170086,0.46014581993222237,0.006662440652559857,0.0292185621469148
Aaron Jorgensen Plumbing,1,5,0.00930364113301034,0.01602975928690276,0.00287505356827746,0.4181643858551979,0.5289270393550396,0.011981821432709639,0.01271835649386042
Abbeys Carpet City,1,15,0.030422732265045195,0.08388281268998976,0.0032171711616683267,0.2828239076014142,0.290496395714581,0.048962402033309115,0.260194572682182
"Abby Rappoport, LAC, CMQ",1,7,0.0044714162192706,0.011093974778694728,0.008230738774208029,0.313429656405268,0.3202896525285074,0.061834664350109377,0.28064992431817304
Abc Locksmith,1,4,0.27982654818333685,0.16403619508491823,0.007610954402480225,0.21010858481167813,0.17448043776676053,0.05693756532855328,0.10699972760630767
Abe Nursery,1,8,0.07517305304645557,0.0664749466668581,0.0021569880482274375,0.26135998754762113,0.3913899620529264,0.011217488296097113,0.19222756294766438
Abercrombie & Fitch,1,11,0.08468054876853284,0.23403749509121885,0.06394768171859054,0.20539650409905744,0.15439368526197286,0.1933246144008907,0.06421947094019159
Ablitt's Fine Cleaners,1,129,0.059449954080222085,0.07040086233796179,0.011916154694821015,0.3445766055022453,0.34519339826809914,0.0337995526014444,0.1346634663370719
About Face Make Up Artistry,1,9,0.0197438212215072,0.02765175896800221,0.0031973937034813446,0.39057555034135777,0.4256020196610027,0.01839451887644822,0.11483491450134246
About Faces Skincare,1,60,0.037872464105991294,0.05482096963193418,0.01348262304648713,0.5057735171673509,0.26518740800675,0.02138460115529592,0.10147840968371985
About Justice,1,10,0.0809307005954906,0.00976065294817085,0.13044804280507374,0.09658023840747768,0.6033603396266699,0.02255208017304536,0.056367951049469366
About the Children,1,6,0.4069861148794492,0.2279844976340731,0.02878797263838345,0.0037184732888514336,0.2184737349549929,0.07298476404199992,0.041064450051635434
Above & Beyond Body Arts,1,80,0.07834934994098144,0.08740489697374865,0.05645584255762509,0.28374676839703167,0.31549097733804954,0.05932972013179092,0.11922245119640133
Above All Aviation,1,20,0.0728347239491995,0.0298203676618868,0.03846889282722255,0.4554529751301743,0.21850154697895047,0.013103127217618698,0.17181836352683602
Absolute Cab,1,16,0.13155898710829203,0.19736155874852554,0.04806949151679868,0.20153955831119671,0.3055437389411963,0.027206076018046543,0.0887205931867356
Absolute Carpet Care,1,27,0.14369117535857687,0.2600697117374727,0.014111308005845348,0.057649044813674444,0.2814850926795905,0.036847890587523524,0.20614578542989434
Absolutely Fabulous Glamour Studio,1,17,0.011625049053691282,0.011966978901695848,0.07054685217136622,0.5543742495972444,0.19508580956608054,0.08226381779155305,0.07413724733187867
Academy Koei-Kan Karate DO,1,5,0.01757818667683744,0.00472654158947984,0.0040844191098585204,0.6865222752094269,0.17728547714650628,0.012865896243601998,0.09693720927461978
Ace Appliance Service,1,11,0.10577095630155364,0.052003684411333344,0.005507969477383219,0.11936619398395781,0.35552761627530505,0.163806941952895,0.19801663120531218
Ace Handyman Services,1,8,0.07952294073766095,0.03542736756207881,0.003691376747155975,0.2369149658916285,0.5346186105161905,0.03799868770875034,0.07182606286369261
Ace Plumbing,1,21,0.026927752775095716,0.017678281929831723,0.07853080019898087,0.24399690760210863,0.5014100679684252,0.024773484040495133,0.10668270547120337
Ace Rivington,1,36,0.013819822954246719,0.01474298392066778,0.009958010976131595,0.5620958218351007,0.24983389815315604,0.008420613183665764,0.14112884211095256
Acme Bail Bonds,1,7,0.010068370129114757,0.005730249220505314,0.004220292354667771,0.3028252763407571,0.4848556843187128,0.008697222585656772,0.18360295093485285
Acme Detection,1,12,0.03966772304071729,0.043823044281452846,0.007424978219205458,0.1703774345417817,0.6462156561513742,0.029242341135007597,0.063248828286305
Action Photo Booth,1,5,0.012795091979205562,0.00452850498259064,0.0013547849957830601,0.7848461747169495,0.13737892061471937,0.0051695074886083,0.05392697453498836
